university_name_en;university_name_ru;longitude;latitude;university_logo_filename
American University;Американский университет;-77.0867947;38.9383923;american_university.png
Barnard College;Барнард колледж ;-73.9636765;40.8092613;barnard_college.png
Bates College;Бейтс колледж;-70.2052681;44.1069618;bates_college.png
Baylor University;Университет Бейлор;-97.1151771;31.550983;baylor_university.png
Brown University;Университет Брауна;-71.43938;41.8158;brown_university.png
Case Western Reserve University;Университет Кейс Вестерн Резерв;-81.6089419;41.505847;case_western_reserve_university.png
City University of New York;Городской университет Нью-Йорка;-73.97349;40.75054;city_university_new_york.png
Claremont McKenna College;Колледж Клермонт Маккена;-117.7113068;34.1024307;claremont_mckenna_college.png
Clark University;Университет Кларка;-71.8274089;42.2517286;clark_university.png
Columbia University;Колумбийский университет;-73.96381;40.80798;columbia_university.png
Cornell University;Корнелльский университет;-76.4939;42.4415;cornell_university.png
Emory University;Университет Эмори;-84.3254063;33.7896865;emory_university.png
Fordham University;Фордхемский университет;-73.98579;40.77064;fordham_university.png
Georgetown University;Джорджтаунский университет;-77.0714279;38.9075451;georgetown_university.png
George Washington University;Университет Джорджа Вашингтона;-77.0476599;38.90099;george_washington_university.png
Harvard University;Гарвардский университет;-71.1189;42.37458;harvard_university.png
Indiana University;Университет Индианы;-86.5267868;39.1663818;indiana_university.png
Kent State University;Кентский государственный университет;-85.58564;42.9210014;kent_state_university.png
Kharkiv National University;Харьковский национальный университет;36.22815;50.0043;kharkiv_university.png
King's College London;Королевский колледж Лондона;-0.11688;51.51208;kings_college_london.png
Koç University;Кос университет;29.08345;41.20843;koc_university.png
Kyiv Mohyla Academy;Киево-Могилянская академия;30.51936;50.46519;mohyla_academy.png
London School of Economics;Лондонская школа экономики;-0.11665;51.51385;london_school_economics.png
Middlebury Institute of International Studies at Monterey;Миддлбурский институт международных исследований в Монтерее;-121.89715;36.59922;middlebury_institute_monterey.png
McGill University;МакГилл университет;-73.6711678;45.4448332;mcgill_university.png
New School, New York;Новая школа, Нью-Йорк;-73.997;40.73559;new_school.png
New York University;Нью-Йоркский университет;-73.99702;40.72966;new_york_university.png
New York University, Abu Dhabi;Нью-Йоркский университет, Абу-Даби;54.44915;24.5438;new_york_university_abu_dhabi.png
Newcastle University;Университет Ньюкасл;-1.61614;54.98019;newcastle_university.png
Northwestern University;Северо-западный университет;-87.679245;42.0499268;northwestern_university.png
Oberlin College;Оберлин колледж;-82.2236099;41.29361;oberlin_college.png
Odessa National I.I. Mechnikov University;Одесский национальный университет им. И.И. Мечникова;30.729082;46.4875347;odessa_university.png
Oklahoma University;Университет Оклахомы;-97.4460983;35.2103348;university_oklahoma.png
Providence College;Колледж Провидения;-71.4405502;41.8432517;providence_college.png
Rutgers University;Университет Рутгерса;-74.4468854;40.4980666;rutgers_university.png
Saint Louis University;Университет Сент-Луис;-90.2339157;38.6346385;saint_louis_university.png
San Diego State University;Университет Сан-Диего;-117.0725327;32.7721481;san_diego_state_university.png
Stanford University;Стэндфордский Университет;-122.17006;37.42765;stanford_university.png
Syracuse University;Униерситет Сиракуз;-76.13695;43.04024;syracuse_university.png
University of Bath;Университет Бата;-2.33059;51.38075;university_bath.png
University of Colorado Boulder;Университет Колорадо Боулдер;-105.26298;40.00439;university_colorado_boulder.png
University of Chicago;Чикагский университет;-87.5998;41.79015;university_chicago.png
University of Exeter;Университет Эксетера;-3.53678;50.73697;university_exeter.png
University of Florida;Университет Флориды;-82.35271;29.64496;university_florida.png
University of Leeds;Университет Лидса;-1.55222;53.80809;university_leeds.png
University of Minnesota;Университет Миннесоты;-93.2339949;44.9758682;university_minnesota.png
University of North Carolina;Университет Северной Каролины;-79.0420732;35.9114152;university_north_carolina.png
University of Oregon;Университет Орегона;-123.0700073;44.0456467;university_oregon.png
University of Pennsylvania;Пенсильванский университет;-75.1939067;39.9531449;university_pennsylvania.png
University of Tartu;Тартуский университет;26.71993;58.38107;tartu_university.png
University of Tokyo;Токийский университет;139.759795;35.7126818;university_tokyo.png
University of Toronto;Университет Торонто;-79.39605;43.66095;university_toronto.png
University of Warwick;Университет Уорика;-1.56491;52.38604;university_warwick.png
University of Washington;Университет Вашингтона;-122.30673;47.65027;university_washington.png
University of Wisconsin-Madison;Университет Висконсин-Мэдисон;-89.40788;43.07136;university_wisconsin-madison.png
University of Wisconsin-Milwaukee;Университет Висконсин-Милуоки;-87.8798869;43.0748149;university_wisconsin-milwaukee.png
Virginia Commonwealth University;Университет Содружества Вирджинии;-77.45348;37.54651;virginia_commonwealth_university.png
Wesleyan University;Уэслианский университет;-72.6566849;41.5570602;wesleyan_university.png
William and Mary College;Уильям и Мэри колледж;-76.7136292;37.2719876;william_mary_college.png
Yale University;Йельский университет;-72.92888;41.31017;yale_university.png
National University of Ostroh Academy;Острожская академия;26.5135599;50.32907;ostroh_academy.png
The Graduate Insitute of International and Development Studies;Женевский институт международных исследований и развития;6.1413801;46.2207906;graduate_institute.png
Higher School of Economics;Высшая школа экономики в Санкт-Петербурге;30.2901386;59.9231245;higher_school_of_economics.png
University of Notre Dame;Университет Нотр-Дам;-86.2467862;41.702995;university_notre_dame.png
Ben Gurion University of the Negev;Университет Бен Гуриона в Негеве;34.801511;31.262192;ben-gurion_university.png
University of East Anglia;Университет Восточной Англии;1.241667;52.621667;university_east_anglia.png
University of Cape Town;Университет Кейптауна;18.4580094;-33.9650252;university_cape_town.png
University of Kent;Университет Кента;1.069;51.297;university_kent.png
Carleton University;Карлтонский университет;-75.6976;45.3831;carleton_university.png
University of Manchester;Университет Манчестера;-2.233611;53.465556;university_manchester.png
University of Rochester;Университет Рочестера;-77.628333;43.128333;university_rochester.png
